ein,tax_year,nonprofit_name,total_revenue,total_expenses,government_grant_dollars,notes
EIN-52-2087445,2021,MEDSTAR HEALTH INC,324422604,283205907,-5653277,Negative government grant value
EIN-81-4757878,2021,AMAZING GRACE ANIMAL SANCTUARY,72316,6833,-14601,Negative government grant value
EIN-51-0005289,2021,BRANDYWINERS LTD,130167,132790,-15000,Negative government grant value
EIN-20-5497506,2021,WEST GEORGIA MEDICAL CENTER INC,245691671,235503890,-204939,Negative government grant value
EIN-20-2940156,2021,The Peace Corner Inc,32494,437263,-772,Negative government grant value
EIN-47-5539221,2021,Fire Adapted Colorado,295753,110499,-5000,Negative government grant value
EIN-20-0039573,2021,JOSUE YRION WORLD EVANGELISM AND,876355,431170,-27915,Negative government grant value
