Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,66.80%,"32,117","$3,749,841,268",11.00%,-14.79%
$10M or more,67.77%,"15,084","$243,909,622,242",5.03%,-8.22%
$1M to $4.9M,68.80%,"29,957","$27,535,143,194",8.93%,-14.32%
$500K to $999K,67.90%,"17,585","$6,169,270,282",9.50%,-14.38%
$5M to $9.9M,70.94%,"8,234","$23,035,727,618",6.97%,-14.92%
Less than $100K,60.01%,"4,981","$361,059,378",26.73%,-11.13%
Total,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
