State,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Alabama,73.80%,"1,271","$2,293,880,760",7.76%,-23.91%
Alaska,79.28%,584,"$2,117,969,769",7.18%,-29.01%
Arizona,66.47%,"1,512","$4,467,689,527",8.49%,-12.82%
Arkansas,75.40%,874,"$1,599,497,710",6.87%,-21.16%
California,66.00%,"11,034","$45,354,435,566",8.89%,-13.44%
Colorado,60.13%,"2,704","$3,787,594,458",11.37%,-6.75%
Connecticut,71.27%,"1,664","$4,152,416,917",6.56%,-16.08%
Delaware,73.67%,528,"$1,276,146,695",9.98%,-27.86%
District of Columbia,64.33%,"1,724","$23,147,588,754",9.10%,-11.74%
Florida,69.89%,"4,265","$13,258,507,449",6.70%,-16.64%
Georgia,66.86%,"2,227","$5,479,386,884",8.99%,-12.56%
Hawaii,70.54%,662,"$1,253,625,487",8.63%,-18.12%
Idaho,62.10%,504,"$732,040,888",11.87%,-10.04%
Illinois,67.56%,"3,567","$10,864,976,128",8.05%,-13.52%
Indiana,65.53%,"2,106","$3,408,980,939",9.93%,-11.73%
Iowa,62.93%,"1,346","$1,369,069,483",10.07%,-5.87%
Kansas,70.48%,"1,006","$1,137,473,328",7.71%,-12.42%
Kentucky,65.87%,"1,175","$2,545,376,443",9.03%,-10.71%
Louisiana,72.16%,"1,250","$2,948,569,008",7.76%,-26.93%
Maine,61.15%,937,"$1,528,789,623",10.59%,-7.86%
Maryland,69.35%,"2,542","$6,370,607,275",8.48%,-15.39%
Massachusetts,60.91%,"3,193","$12,885,181,223",10.98%,-5.58%
Michigan,66.86%,"2,746","$5,806,181,630",8.26%,-12.09%
Minnesota,68.76%,"2,977","$4,900,260,029",7.80%,-11.70%
Mississippi,75.04%,613,"$1,118,780,983",5.83%,-26.56%
Missouri,68.24%,"2,018","$4,294,446,233",7.74%,-12.32%
Montana,64.30%,703,"$790,905,340",9.59%,-10.54%
Nebraska,65.65%,786,"$1,054,906,249",7.72%,-11.33%
Nevada,73.95%,522,"$1,272,362,902",7.01%,-23.97%
New Hampshire,61.98%,697,"$1,207,755,133",10.39%,-7.06%
New Jersey,69.56%,"2,595","$5,819,107,231",8.60%,-15.76%
New Mexico,70.77%,797,"$983,244,154",10.13%,-16.32%
New York,69.52%,"8,947","$31,563,360,767",8.35%,-13.02%
North Carolina,69.90%,"3,389","$8,868,986,509",8.92%,-19.92%
North Dakota,61.94%,465,"$488,021,471",9.63%,-7.12%
Ohio,71.55%,"4,116","$18,034,216,002",7.12%,-17.86%
Oklahoma,73.25%,942,"$1,666,143,170",5.87%,-20.73%
Oregon,67.80%,"2,031","$3,750,044,525",11.42%,-14.21%
Other/unmapped jurisdictions,82.73%,411,"$1,558,512,806",5.57%,-32.87%
Pennsylvania,66.86%,"6,294","$13,372,111,516",9.60%,-11.47%
Rhode Island,66.61%,593,"$1,141,916,789",9.09%,-11.28%
South Carolina,70.56%,"1,345","$2,348,088,084",9.23%,-19.40%
South Dakota,60.71%,481,"$855,624,309",11.55%,-5.73%
Tennessee,69.52%,"2,100","$3,878,893,737",8.31%,-17.16%
Texas,66.04%,"5,033","$18,786,343,498",9.15%,-11.74%
Utah,72.16%,740,"$1,707,651,166",9.68%,-23.91%
Vermont,67.31%,780,"$769,715,602",7.99%,-9.68%
Virginia,64.43%,"2,887","$5,264,482,573",10.25%,-10.30%
Washington,66.34%,"2,834","$6,824,377,813",10.50%,-10.68%
West Virginia,76.85%,825,"$1,138,888,879",8.69%,-27.83%
Wisconsin,63.28%,"2,236","$3,244,523,606",10.10%,-8.12%
Wyoming,70.26%,380,"$271,006,962",5.89%,-26.44%
