Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",64.04%,"10,379","$8,827,376,760",13.65%,-9.51%
Education,68.51%,"12,269","$38,241,533,782",8.75%,-13.64%
Environment and animals,51.26%,"4,647","$6,022,360,803",15.87%,-0.87%
Health,70.18%,"9,859","$30,008,851,192",7.55%,-14.18%
Hospitals,53.22%,"1,321","$11,109,331,533",5.37%,-0.99%
Human services,70.83%,"33,349","$60,342,671,444",7.92%,-18.69%
"International, foreign affairs",57.68%,"1,283","$21,011,526,304",7.96%,-4.79%
Mutual/membership benefit,65.67%,67,"$27,530,394",6.49%,-25.91%
"Public, societal benefit",67.41%,"8,642","$30,582,561,542",10.06%,-17.86%
Religion-related,52.30%,"2,417","$1,569,266,493",11.93%,-1.12%
Unclassified,70.08%,"22,532","$68,649,522,738",7.65%,-14.60%
Universities,59.85%,"1,193","$28,368,130,997",6.02%,-2.85%
Total,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
