Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,68.00%,"2,206","$266,162,393",11.96%,-15.19%
$10M or more,70.32%,"1,695","$26,578,370,458",4.72%,-7.95%
$1M to $4.9M,70.01%,"2,524","$2,217,369,922",8.83%,-14.23%
$500K to $999K,69.03%,"1,369","$411,707,876",9.76%,-16.87%
$5M to $9.9M,74.01%,812,"$2,069,956,971",6.52%,-16.36%
Less than $100K,63.05%,341,"$19,793,147",24.97%,-14.05%
Total,69.52%,"8,947","$31,563,360,767",8.35%,-13.02%
