Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Michigan,66.86%,"2,746","$5,806,181,630",8.26%,-12.09%
10th Congressional district,79.34%,121,"$97,623,265",5.52%,-44.13%
11th Congressional district,68.26%,167,"$321,742,779",7.28%,-11.14%
12th Congressional district,62.65%,166,"$451,710,800",9.26%,-8.53%
13th Congressional district,71.43%,280,"$1,197,210,826",5.78%,-25.78%
1st Congressional district,62.87%,342,"$468,782,851",10.25%,-6.93%
2nd Congressional district,66.90%,145,"$185,303,858",7.15%,-9.32%
3rd Congressional district,61.05%,285,"$712,789,287",9.32%,-7.51%
4th Congressional district,66.55%,293,"$421,067,936",8.69%,-11.56%
5th Congressional district,65.99%,147,"$162,705,878",10.39%,-9.17%
6th Congressional district,62.67%,225,"$709,001,331",12.18%,-10.04%
7th Congressional district,71.49%,249,"$587,735,533",7.55%,-16.19%
8th Congressional district,70.59%,221,"$395,351,010",5.72%,-16.93%
9th Congressional district,65.71%,105,"$95,156,276",9.21%,-4.26%
