Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",63.53%,85,"$20,887,506",13.58%,-7.42%
Education,75.00%,84,"$87,748,061",11.40%,-16.77%
Environment and animals,60.00%,55,"$17,989,045",12.34%,-5.28%
Health,77.22%,79,"$143,030,753",8.87%,-18.30%
Hospitals,87.50%,8,"$79,380,406",-2.70%,-14.15%
Human services,71.25%,240,"$191,262,443",9.04%,-21.54%
"International, foreign affairs",71.43%,7,"$1,603,032",0.37%,-8.67%
"Public, societal benefit",66.67%,75,"$72,721,562",16.55%,-21.10%
Religion-related,50.00%,10,"$1,394,314",14.76%,-1.91%
Unclassified,74.50%,149,"$304,232,006",8.49%,-21.49%
Universities,80.00%,5,"$62,995,026",15.05%,-9.69%
Total,70.77%,797,"$983,244,154",10.13%,-16.32%
