Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",69.77%,43,"$18,343,092",18.57%,-17.52%
Education,80.82%,73,"$367,266,369",6.52%,-29.35%
Environment and animals,63.89%,36,"$28,878,577",5.90%,-12.59%
Health,75.00%,72,"$190,594,606",5.31%,-36.66%
Hospitals,57.14%,7,"$33,182,877",4.80%,-2.88%
Human services,72.90%,155,"$359,251,258",6.42%,-24.23%
"International, foreign affairs",33.33%,3,"$6,372,205",17.05%,12.58%
Mutual/membership benefit,100.00%,2,"$633,363",45.74%,-31.73%
"Public, societal benefit",77.27%,44,"$74,981,557",9.11%,-24.11%
Religion-related,25.00%,4,"$140,770",23.98%,19.39%
Unclassified,78.48%,79,"$182,172,794",5.45%,-33.63%
Universities,75.00%,4,"$10,545,434",-8.76%,-35.44%
Total,73.95%,522,"$1,272,362,902",7.01%,-23.97%
