Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",63.00%,100,"$31,551,387",11.35%,-13.32%
Education,55.77%,52,"$65,700,850",10.82%,-12.76%
Environment and animals,58.06%,31,"$17,463,760",12.83%,-10.79%
Health,71.82%,110,"$195,961,287",7.97%,-16.12%
Hospitals,80.77%,26,"$70,659,278",7.86%,-5.14%
Human services,74.83%,290,"$248,642,101",4.78%,-12.66%
"International, foreign affairs",100.00%,5,"$894,066",4.27%,-18.33%
"Public, societal benefit",68.92%,74,"$42,875,184",10.16%,-21.54%
Religion-related,42.42%,33,"$5,203,451",12.45%,1.79%
Unclassified,75.82%,273,"$422,845,450",6.24%,-15.17%
Universities,41.67%,12,"$35,676,514",11.14%,0.95%
Total,70.48%,"1,006","$1,137,473,328",7.71%,-12.42%
