Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",67.96%,181,"$103,269,609",17.09%,-11.88%
Education,69.62%,237,"$386,650,470",9.36%,-22.85%
Environment and animals,59.22%,179,"$310,114,522",12.81%,-8.70%
Health,61.88%,160,"$350,045,630",12.48%,-9.66%
Hospitals,36.36%,11,"$34,963,117",12.22%,3.63%
Human services,70.68%,648,"$961,366,935",10.96%,-18.27%
"International, foreign affairs",88.89%,18,"$302,932,220",1.60%,-21.41%
"Public, societal benefit",68.87%,151,"$288,245,305",13.96%,-17.81%
Religion-related,44.19%,43,"$6,929,745",18.05%,2.46%
Unclassified,70.77%,390,"$951,669,244",9.85%,-14.16%
Universities,53.85%,13,"$53,857,728",3.16%,-2.06%
Total,67.80%,"2,031","$3,750,044,525",11.42%,-14.21%
