Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Michigan,66.86%,"2,746","$5,806,181,630",8.26%,-12.09%
Alcona County,50.00%,2,"$869,604",10.99%,-21.94%
Alger County,100.00%,2,"$1,009,608",12.32%,-5.49%
Allegan County,56.52%,23,"$21,035,872",12.50%,-2.29%
Alpena County,50.00%,20,"$85,707,941",12.19%,-2.43%
Antrim County,0.00%,5,"$1,281,444",27.42%,11.29%
Arenac County,100.00%,3,"$4,721,566",5.81%,-28.03%
Baraga County,40.00%,5,"$894,446",25.20%,4.26%
Barry County,61.54%,13,"$3,714,110",13.56%,-7.99%
Bay County,60.00%,25,"$32,078,230",17.56%,-6.75%
Benzie County,57.14%,7,"$3,715,547",3.92%,-13.72%
Berrien County,64.29%,56,"$56,268,353",11.38%,-24.72%
Branch County,75.00%,4,"$3,286,483",19.03%,-53.13%
Calhoun County,78.26%,46,"$75,361,605",6.91%,-13.66%
Cass County,50.00%,8,"$6,593,749",12.17%,-0.52%
Charlevoix County,57.14%,21,"$7,310,085",12.65%,-2.45%
Cheboygan County,100.00%,6,"$1,885,896",6.36%,-13.64%
Chippewa County,66.67%,18,"$43,412,026",5.32%,-22.50%
Clare County,60.00%,5,"$25,661,438",-0.54%,-66.93%
Clinton County,60.00%,10,"$10,571,053",4.94%,-11.25%
Crawford County,100.00%,1,"$5,671",0.47%,-1.15%
Delta County,80.00%,15,"$19,995,046",4.58%,-8.64%
Dickinson County,75.00%,8,"$4,535,667",6.76%,-59.25%
Eaton County,72.73%,33,"$95,174,333",4.61%,-23.13%
Emmet County,56.00%,25,"$20,104,889",13.78%,-0.97%
Genesee County,71.74%,92,"$170,158,187",2.95%,-29.07%
Gladwin County,33.33%,3,"$1,403,967",21.13%,17.07%
Gogebic County,57.14%,7,"$6,568,339",4.56%,-11.06%
Grand Traverse County,70.00%,50,"$155,622,356",8.23%,-10.46%
Gratiot County,70.00%,10,"$23,593,447",4.12%,-4.56%
Hillsdale County,62.50%,8,"$2,422,573",4.43%,-13.93%
Houghton County,69.57%,23,"$17,052,785",7.97%,-30.09%
Huron County,60.00%,10,"$10,797,427",12.07%,-2.01%
Ingham County,76.47%,170,"$452,835,377",7.63%,-19.50%
Ionia County,60.00%,10,"$23,047,172",9.54%,-35.80%
Iosco County,57.14%,7,"$4,000,765",20.04%,-4.61%
Iron County,100.00%,7,"$2,788,594",2.16%,-13.59%
Isabella County,61.90%,21,"$19,823,454",7.76%,-19.28%
Jackson County,64.86%,37,"$67,444,288",12.92%,-12.87%
Kalamazoo County,69.49%,118,"$191,583,295",8.61%,-12.72%
Kalkaska County,100.00%,1,"$204,725",15.94%,-38.03%
Kent County,58.52%,229,"$618,167,628",8.88%,-4.86%
Keweenaw County,0.00%,2,"$81,859",28.34%,17.62%
Lake County,100.00%,3,"$12,853,974",5.15%,-59.38%
Lapeer County,50.00%,12,"$3,635,916",9.08%,0.28%
Leelanau County,25.00%,16,"$6,778,174",29.47%,23.51%
Lenawee County,64.00%,25,"$26,076,360",9.54%,-6.84%
Livingston County,54.17%,24,"$8,613,047",14.16%,-0.37%
Luce County,100.00%,1,"$14,573",81.66%,-18.34%
Mackinac County,54.55%,11,"$6,358,963",14.44%,-5.16%
Macomb County,80.34%,117,"$101,853,269",4.02%,-52.30%
Manistee County,87.50%,8,"$5,023,540",4.21%,-8.44%
Marquette County,67.65%,34,"$37,421,075",12.42%,-7.54%
Mason County,70.00%,10,"$6,513,185",3.92%,-42.14%
Mecosta County,80.00%,10,"$3,323,434",8.14%,-19.06%
Menominee County,40.00%,5,"$355,550",18.39%,3.27%
Midland County,68.09%,47,"$75,866,062",6.53%,-5.24%
Missaukee County,66.67%,3,"$562,550",9.91%,-0.01%
Monroe County,86.36%,22,"$24,237,113",8.03%,-35.43%
Montcalm County,100.00%,7,"$11,172,479",4.82%,-12.49%
Montmorency County,100.00%,2,"$10,567,211",10.35%,-21.80%
Muskegon County,61.22%,49,"$103,043,331",12.58%,-8.90%
Newaygo County,80.00%,10,"$21,061,361",2.99%,-18.16%
Oakland County,65.33%,274,"$542,401,053",8.83%,-7.63%
Oceana County,33.33%,6,"$974,964",13.50%,7.42%
Ogemaw County,66.67%,6,"$3,116,222",15.77%,-9.74%
Ontonagon County,66.67%,3,"$486,002",12.13%,-16.27%
Osceola County,100.00%,4,"$2,836,366",-8.91%,-26.10%
Oscoda County,100.00%,1,"$396,123",4.47%,-59.79%
Otsego County,64.71%,17,"$8,163,939",7.99%,-5.98%
Ottawa County,63.74%,91,"$75,679,721",9.52%,-6.86%
Presque Isle County,66.67%,3,"$1,305,070",20.13%,-57.31%
Roscommon County,75.00%,4,"$7,936,440",3.88%,-22.46%
Saginaw County,74.14%,58,"$118,561,172",7.03%,-19.34%
Sanilac County,85.71%,7,"$3,813,483",3.12%,-23.34%
Schoolcraft County,0.00%,1,"$3,552,100",7.07%,0.19%
Shiawassee County,60.00%,10,"$20,552,055",9.10%,-11.53%
St. Clair County,58.97%,39,"$29,963,035",10.09%,-2.96%
St. Joseph County,70.00%,10,"$15,002,415",6.08%,-6.51%
Tuscola County,33.33%,6,"$14,650,233",9.40%,3.76%
Van Buren County,50.00%,14,"$31,686,118",22.21%,-13.63%
Washtenaw County,62.01%,179,"$676,935,063",12.84%,-10.04%
Wayne County,70.14%,422,"$1,488,349,933",6.58%,-21.14%
Wexford County,55.56%,9,"$1,698,056",5.07%,-9.03%
