Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",60.71%,481,"$254,397,141",12.51%,-8.21%
Education,66.85%,733,"$1,294,261,802",12.24%,-9.87%
Environment and animals,54.40%,193,"$119,928,884",18.63%,-3.24%
Health,68.56%,617,"$1,908,387,990",6.49%,-8.25%
Hospitals,53.97%,63,"$312,841,535",2.70%,-0.23%
Human services,68.68%,"2,200","$3,021,341,416",9.58%,-16.21%
"International, foreign affairs",54.84%,31,"$11,451,933",12.23%,-2.39%
Mutual/membership benefit,66.67%,6,"$1,161,458",-5.88%,-45.68%
"Public, societal benefit",67.23%,476,"$731,446,545",11.47%,-14.43%
Religion-related,50.91%,110,"$63,885,099",14.08%,-0.26%
Unclassified,69.66%,"1,292","$3,215,174,349",8.51%,-13.89%
Universities,60.87%,92,"$2,437,833,364",5.70%,-2.37%
Total,66.86%,"6,294","$13,372,111,516",9.60%,-11.47%
