Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,62.17%,230,"$23,489,744",11.65%,-11.29%
$10M or more,61.61%,112,"$958,751,221",4.95%,-2.39%
$1M to $4.9M,61.20%,183,"$135,777,459",13.45%,-6.39%
$500K to $999K,68.10%,116,"$31,960,792",10.41%,-11.56%
$5M to $9.9M,58.06%,31,"$56,575,599",9.08%,-8.91%
Less than $100K,44.00%,25,"$1,200,318",28.69%,2.38%
Total,61.98%,697,"$1,207,755,133",10.39%,-7.06%
