Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Arizona,66.47%,"1,512","$4,467,689,527",8.49%,-12.82%
Apache County,64.29%,14,"$21,393,968",0.98%,-21.44%
Cochise County,48.15%,27,"$45,031,209",13.97%,0.32%
Coconino County,64.71%,68,"$122,584,973",10.61%,-11.80%
Gila County,41.67%,12,"$8,907,691",19.00%,6.74%
Graham County,90.00%,10,"$22,035,599",8.36%,-78.01%
La Paz County,80.00%,5,"$3,385,422",3.91%,-33.07%
Maricopa County,65.38%,878,"$2,861,220,294",8.08%,-11.17%
Mohave County,85.19%,27,"$96,326,656",10.30%,-52.66%
Navajo County,81.82%,22,"$134,024,497",8.31%,-28.59%
Pima County,65.61%,285,"$914,562,068",7.85%,-13.73%
Pinal County,83.78%,37,"$80,911,112",2.96%,-52.16%
Santa Cruz County,53.33%,15,"$10,893,709",16.79%,-16.16%
Yavapai County,70.59%,85,"$66,761,430",9.19%,-13.34%
Yuma County,74.07%,27,"$79,650,899",9.19%,-14.92%
