Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Mississippi,75.04%,613,"$1,118,780,983",5.83%,-26.56%
Adams County,85.71%,7,"$5,061,532",-19.29%,-59.80%
Alcorn County,100.00%,7,"$2,677,610",13.51%,-39.23%
Amite County,100.00%,1,"$3,434,150",15.62%,-46.86%
Attala County,100.00%,2,"$2,742,593",7.19%,-82.65%
Benton County,50.00%,2,"$6,007,176",4.11%,-13.55%
Bolivar County,80.00%,10,"$28,489,525",6.65%,-34.57%
Carroll County,100.00%,1,"$100,000",36.57%,-54.17%
Chickasaw County,100.00%,3,"$445,056",-49.73%,-94.40%
Claiborne County,100.00%,2,"$2,568,547",-4.67%,-53.90%
Clarke County,100.00%,1,"$2,540,626",6.09%,-70.83%
Clay County,66.67%,3,"$1,823,373",19.85%,-33.91%
Coahoma County,75.00%,12,"$26,551,094",1.88%,-34.59%
Copiah County,80.00%,5,"$3,246,082",0.63%,-16.67%
Covington County,0.00%,1,"$50,000",32.71%,24.73%
DeSoto County,69.23%,13,"$12,234,878",9.29%,-17.30%
Forrest County,73.68%,19,"$30,835,417",4.60%,-25.13%
George County,100.00%,1,"$1,405,836",7.80%,-77.40%
Greene County,100.00%,1,"$126,495",23.95%,-76.05%
Hancock County,75.00%,4,"$3,152,186",2.55%,-85.83%
Harrison County,79.49%,39,"$77,035,154",-0.23%,-42.18%
Hinds County,71.01%,138,"$259,991,471",6.31%,-25.29%
Holmes County,100.00%,2,"$4,714,639",0.62%,-70.73%
Humphreys County,0.00%,1,"$35,400",18.88%,3.55%
Itawamba County,66.67%,3,"$3,229,314",26.21%,-23.95%
Jackson County,85.71%,14,"$21,874,082",0.93%,-56.40%
Jasper County,0.00%,1,"$5,000",15.97%,12.21%
Jefferson County,100.00%,3,"$6,761,559",0.00%,-100.00%
Jefferson Davis County,0.00%,1,"$134,438",20.56%,9.96%
Jones County,71.43%,7,"$7,782,952",11.93%,-27.69%
Kemper County,100.00%,2,"$3,578,185",8.82%,-38.89%
Lafayette County,80.00%,10,"$32,819,991",8.24%,-44.60%
Lamar County,50.00%,4,"$1,167,419",11.33%,-6.88%
Lauderdale County,85.71%,28,"$51,694,122",-0.73%,-16.40%
Leake County,100.00%,1,"$4,846,990",16.75%,-28.96%
Lee County,63.41%,41,"$60,000,830",7.30%,-7.63%
Leflore County,14.29%,7,"$543,423",30.89%,13.53%
Lincoln County,100.00%,3,"$6,213,745",-23.39%,-30.42%
Lowndes County,75.00%,12,"$10,226,594",6.87%,-11.49%
Madison County,76.67%,30,"$53,135,938",7.77%,-20.06%
Marion County,50.00%,2,"$16,738,039",7.83%,-40.80%
Marshall County,60.00%,5,"$57,068,219",6.89%,-32.96%
Monroe County,100.00%,7,"$4,852,567",13.32%,-37.12%
Montgomery County,100.00%,3,"$12,797,882",4.31%,-84.76%
Neshoba County,33.33%,3,"$1,050,448",56.85%,1.11%
Newton County,100.00%,2,"$12,325,534",14.16%,-38.96%
Noxubee County,100.00%,2,"$1,249,789",10.35%,-31.56%
Oktibbeha County,63.64%,11,"$20,794,798",6.42%,-34.88%
Panola County,100.00%,4,"$8,818,503",4.73%,-51.99%
Pearl River County,57.14%,7,"$811,595",14.17%,-0.68%
Perry County,100.00%,1,"$1,538,921",6.46%,-7.03%
Pike County,71.43%,7,"$7,466,573",8.63%,-74.81%
Pontotoc County,100.00%,1,"$20,791,535",8.34%,-71.23%
Prentiss County,100.00%,5,"$16,723,124",3.42%,-61.60%
Quitman County,100.00%,1,"$65,195",0.99%,-98.03%
Rankin County,72.41%,29,"$65,175,801",6.96%,-36.73%
Scott County,100.00%,1,"$30,540",2.19%,-6.47%
Sharkey County,100.00%,2,"$1,465,960",16.62%,-61.90%
Simpson County,66.67%,6,"$10,925,303",12.00%,-5.24%
Stone County,100.00%,2,"$96,540",1.45%,-50.32%
Sunflower County,80.00%,5,"$10,470,374",2.40%,-40.69%
Tallahatchie County,100.00%,4,"$5,237,295",9.68%,-49.36%
Tate County,0.00%,3,"$931,124",21.08%,15.59%
Tippah County,50.00%,2,"$1,425,542",-0.80%,-6.52%
Tishomingo County,100.00%,1,"$113,668",11.93%,-88.07%
Tunica County,100.00%,1,"$332,948",-1.29%,-46.54%
Union County,80.00%,5,"$2,918,167",3.24%,-12.95%
Warren County,78.57%,14,"$1,985,496",1.48%,-59.49%
Washington County,76.19%,21,"$86,256,434",2.17%,-27.09%
Wayne County,100.00%,1,"$182,316",27.94%,-72.06%
Wilkinson County,100.00%,4,"$1,569,158",-0.86%,-59.49%
Winston County,100.00%,1,"$3,955,030",0.90%,-11.45%
Yazoo County,100.00%,8,"$3,333,143",-4.75%,-39.81%
