Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,61.45%,166,"$17,111,296",14.09%,-7.82%
$10M or more,57.14%,70,"$627,903,278",5.19%,-2.75%
$1M to $4.9M,59.09%,110,"$98,923,389",12.22%,-3.43%
$500K to $999K,63.75%,80,"$31,726,328",11.89%,-13.41%
$5M to $9.9M,81.25%,32,"$79,425,601",3.93%,-11.98%
Less than $100K,34.78%,23,"$534,417",28.40%,8.68%
Total,60.71%,481,"$855,624,309",11.55%,-5.73%
