Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,58.54%,316,"$32,907,406",14.26%,-7.66%
$10M or more,65.35%,127,"$1,141,351,727",5.09%,-7.05%
$1M to $4.9M,66.67%,237,"$197,986,238",8.68%,-12.00%
$500K to $999K,56.74%,141,"$32,105,064",13.45%,-4.87%
$5M to $9.9M,78.57%,56,"$121,882,782",6.24%,-12.46%
Less than $100K,38.33%,60,"$2,556,406",36.45%,18.07%
Total,61.15%,937,"$1,528,789,623",10.59%,-7.86%
