Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",57.58%,66,"$37,551,207",19.50%,-2.14%
Education,68.67%,83,"$81,071,724",7.45%,-13.17%
Environment and animals,35.71%,28,"$15,263,631",29.41%,10.53%
Health,80.00%,50,"$81,775,761",3.96%,-13.29%
Hospitals,100.00%,3,"$13,410,179",-0.95%,-15.19%
Human services,65.43%,162,"$167,472,339",7.85%,-15.97%
"International, foreign affairs",60.00%,5,"$19,732,448",2.05%,-15.04%
Mutual/membership benefit,100.00%,2,"$192,493",1.68%,-11.58%
"Public, societal benefit",75.00%,40,"$48,784,323",5.00%,-39.47%
Religion-related,66.67%,3,"$436,092",12.47%,-11.42%
Unclassified,70.34%,145,"$578,825,903",7.81%,-12.71%
Universities,33.33%,6,"$97,400,689",7.53%,2.68%
Total,66.61%,593,"$1,141,916,789",9.09%,-11.28%
