Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,67.52%,234,"$28,720,685",11.28%,-21.71%
$10M or more,69.15%,376,"$22,173,269,862",5.66%,-13.11%
$1M to $4.9M,62.38%,638,"$485,872,755",10.41%,-10.34%
$500K to $999K,68.27%,249,"$61,970,935",8.84%,-13.51%
$5M to $9.9M,53.33%,210,"$396,971,923",11.52%,-1.92%
Less than $100K,64.71%,17,"$782,594",40.23%,-14.85%
Total,64.33%,"1,724","$23,147,588,754",9.10%,-11.74%
