Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,65.57%,912,"$98,829,299",11.90%,-12.61%
$10M or more,64.25%,579,"$8,755,664,750",4.61%,-7.68%
$1M to $4.9M,68.44%,"1,055","$912,607,927",8.09%,-14.78%
$500K to $999K,69.30%,583,"$163,624,199",8.83%,-15.71%
$5M to $9.9M,75.00%,312,"$924,698,720",5.50%,-22.86%
Less than $100K,63.49%,126,"$9,551,233",20.30%,-18.51%
Total,67.56%,"3,567","$10,864,976,128",8.05%,-13.52%
