Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",60.71%,224,"$187,599,107",13.85%,-7.00%
Education,64.64%,181,"$189,468,748",12.64%,-9.98%
Environment and animals,43.55%,124,"$86,789,784",19.57%,5.01%
Health,69.29%,254,"$410,247,601",6.81%,-12.38%
Hospitals,48.15%,54,"$396,274,635",6.88%,0.10%
Human services,69.16%,908,"$1,406,977,202",7.55%,-16.05%
"International, foreign affairs",70.00%,20,"$22,831,456",5.39%,-6.29%
Mutual/membership benefit,100.00%,2,"$738,817",10.93%,-73.34%
"Public, societal benefit",67.28%,217,"$684,474,867",9.94%,-18.91%
Religion-related,49.28%,69,"$68,889,245",12.86%,0.09%
Unclassified,72.52%,666,"$2,182,280,946",5.93%,-16.19%
Universities,74.07%,27,"$169,609,222",5.46%,-5.39%
Total,66.86%,"2,746","$5,806,181,630",8.26%,-12.09%
