Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Louisiana,72.16%,"1,250","$2,948,569,008",7.76%,-26.93%
1st Congressional district,56.17%,162,"$587,050,566",12.62%,-6.53%
2nd Congressional district,73.31%,326,"$1,200,660,443",8.64%,-23.29%
3rd Congressional district,73.20%,194,"$219,419,340",5.09%,-43.47%
4th Congressional district,72.65%,117,"$103,885,730",6.66%,-31.23%
5th Congressional district,76.92%,182,"$276,379,008",5.34%,-49.98%
6th Congressional district,76.21%,269,"$561,173,921",7.21%,-26.45%
