Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,72.47%,247,"$31,009,888",6.07%,-25.15%
$10M or more,48.76%,121,"$739,330,357",6.28%,0.72%
$1M to $4.9M,65.96%,188,"$165,945,649",9.07%,-8.51%
$500K to $999K,67.65%,136,"$35,157,903",9.19%,-11.53%
$5M to $9.9M,73.47%,49,"$79,971,962",3.66%,-15.48%
Less than $100K,57.78%,45,"$3,490,490",18.25%,-8.17%
Total,65.65%,786,"$1,054,906,249",7.72%,-11.33%
