Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,60.17%,836,"$82,422,351",11.64%,-8.45%
$10M or more,59.25%,265,"$2,659,310,189",8.59%,-3.75%
$1M to $4.9M,61.60%,789,"$528,704,442",11.22%,-6.05%
$500K to $999K,61.63%,529,"$127,219,685",11.86%,-10.08%
$5M to $9.9M,57.22%,180,"$355,167,598",11.12%,-2.29%
Less than $100K,48.57%,105,"$34,770,193",40.67%,0.60%
Total,60.13%,"2,704","$3,787,594,458",11.37%,-6.75%
