Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Missouri,68.24%,"2,018","$4,294,446,233",7.74%,-12.32%
1st Congressional district,69.20%,539,"$1,940,664,111",6.03%,-10.62%
2nd Congressional district,59.09%,176,"$180,583,348",7.41%,-6.97%
3rd Congressional district,67.74%,155,"$200,842,178",8.74%,-12.92%
4th Congressional district,70.97%,186,"$227,051,482",8.64%,-18.25%
5th Congressional district,64.77%,352,"$842,945,801",9.08%,-12.63%
6th Congressional district,72.84%,232,"$205,965,741",8.21%,-14.93%
7th Congressional district,61.62%,185,"$401,542,353",11.65%,-6.53%
8th Congressional district,78.76%,193,"$294,851,219",5.88%,-24.91%
