Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",50.00%,56,"$11,206,021",23.59%,1.53%
Education,63.95%,86,"$60,703,868",10.44%,-13.09%
Environment and animals,31.58%,38,"$5,150,490",30.15%,20.72%
Health,77.14%,70,"$115,924,853",9.23%,-13.68%
Hospitals,50.00%,6,"$4,908,554",1.51%,-1.79%
Human services,67.74%,217,"$159,351,155",7.32%,-11.38%
"International, foreign affairs",33.33%,3,"$171,352",15.31%,7.12%
"Public, societal benefit",53.66%,41,"$33,680,602",17.79%,-0.25%
Religion-related,33.33%,6,"$453,109",29.21%,11.80%
Unclassified,62.42%,165,"$544,314,443",9.30%,-7.71%
Universities,55.56%,9,"$271,890,686",9.63%,-1.15%
Total,61.98%,697,"$1,207,755,133",10.39%,-7.06%
