Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
New Hampshire,61.98%,697,"$1,207,755,133",10.39%,-7.06%
Belknap County,43.33%,30,"$11,088,526",13.23%,1.99%
Carroll County,55.17%,58,"$24,159,670",12.68%,-1.95%
Cheshire County,69.05%,42,"$46,313,512",11.61%,-8.02%
Coos County,61.90%,21,"$53,300,628",6.63%,-21.63%
Grafton County,58.54%,82,"$307,229,446",10.38%,-2.15%
Hillsborough County,64.88%,168,"$426,401,306",9.25%,-9.36%
Merrimack County,66.67%,123,"$180,917,432",6.23%,-12.41%
Rockingham County,60.38%,106,"$79,548,955",12.33%,-5.82%
Strafford County,64.58%,48,"$67,164,393",14.72%,-6.79%
Sullivan County,57.89%,19,"$11,631,265",14.40%,-1.09%
