Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,72.16%,740,"$84,893,885",7.94%,-23.24%
$10M or more,64.37%,247,"$2,832,150,899",5.78%,-6.90%
$1M to $4.9M,68.72%,537,"$488,954,989",9.91%,-14.08%
$500K to $999K,68.73%,323,"$85,678,331",8.36%,-19.13%
$5M to $9.9M,66.67%,129,"$381,132,071",8.64%,-17.67%
Less than $100K,72.58%,124,"$6,083,562",13.88%,-26.41%
Total,69.52%,"2,100","$3,878,893,737",8.31%,-17.16%
