Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Vermont,67.31%,780,"$769,715,602",7.99%,-9.68%
Addison County,65.96%,47,"$38,488,465",6.82%,-9.23%
Bennington County,60.38%,53,"$32,532,900",10.90%,-5.23%
Caledonia County,65.79%,38,"$32,119,050",11.71%,-8.26%
Chittenden County,69.36%,173,"$243,830,446",9.09%,-8.25%
Franklin County,69.57%,23,"$21,829,441",6.99%,-18.70%
Grand Isle County,55.56%,9,"$989,142",22.15%,-16.76%
Lamoille County,66.67%,33,"$16,563,243",6.71%,-4.92%
Orange County,62.50%,40,"$12,702,367",9.07%,-8.95%
Orleans County,66.67%,30,"$22,148,733",5.88%,-14.27%
Rutland County,69.77%,43,"$53,136,402",8.78%,-21.89%
Washington County,74.38%,121,"$155,995,182",7.33%,-18.89%
Windham County,66.25%,80,"$84,650,963",7.15%,-7.28%
Windsor County,62.22%,90,"$54,729,268",7.04%,-6.37%
