Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
West Virginia,76.85%,825,"$1,138,888,879",8.69%,-27.83%
Barbour County,77.78%,9,"$10,184,306",2.91%,-20.54%
Berkeley County,75.86%,29,"$20,972,650",9.09%,-10.15%
Boone County,100.00%,7,"$6,304,062",3.29%,-38.33%
Braxton County,60.00%,5,"$4,007,998",12.67%,-6.58%
Brooke County,85.71%,7,"$10,803,007",4.51%,-24.47%
Cabell County,77.19%,57,"$196,304,221",3.68%,-36.67%
Calhoun County,100.00%,3,"$6,021,595",15.16%,-42.76%
Clay County,0.00%,1,"$486,203",24.39%,7.09%
Doddridge County,100.00%,5,"$1,189,625",-5.25%,-72.87%
Fayette County,60.00%,5,"$13,411,248",32.58%,-37.33%
Gilmer County,100.00%,2,"$956,218",-32.22%,-67.17%
Grant County,100.00%,6,"$3,795,499",5.45%,-22.75%
Greenbrier County,65.38%,26,"$16,790,748",19.18%,-13.71%
Hampshire County,77.78%,9,"$4,003,239",9.61%,-25.21%
Hancock County,78.57%,14,"$14,069,153",8.25%,-43.11%
Hardy County,84.62%,13,"$17,758,851",4.58%,-24.74%
Harrison County,88.00%,25,"$24,491,210",2.69%,-30.52%
Jackson County,66.67%,6,"$1,290,773",6.61%,-5.91%
Jefferson County,72.73%,22,"$9,121,056",19.68%,-18.52%
Kanawha County,79.17%,120,"$209,987,671",5.87%,-32.98%
Lewis County,90.00%,10,"$3,836,222",4.47%,-31.16%
Lincoln County,85.71%,7,"$9,028,028",3.24%,-56.57%
Logan County,84.62%,13,"$10,105,029",15.41%,-38.87%
Marion County,50.00%,22,"$25,630,232",18.53%,-2.99%
Marshall County,77.78%,9,"$2,967,773",9.47%,-65.09%
Mason County,75.00%,8,"$1,330,337",5.17%,-31.80%
McDowell County,100.00%,8,"$8,881,919",7.69%,-82.28%
Mercer County,82.61%,23,"$44,386,120",8.14%,-33.03%
Mineral County,80.00%,15,"$11,307,778",8.58%,-27.23%
Mingo County,90.00%,10,"$17,344,659",13.54%,-44.19%
Monongalia County,68.00%,50,"$165,140,042",15.57%,-17.81%
Monroe County,80.00%,5,"$1,307,802",35.71%,-47.98%
Morgan County,88.89%,9,"$3,710,114",17.65%,-37.84%
Nicholas County,58.33%,12,"$11,963,630",13.26%,-10.04%
Ohio County,68.18%,44,"$47,587,191",10.22%,-11.97%
Pendleton County,77.78%,9,"$5,202,714",18.61%,-26.15%
Pocahontas County,100.00%,6,"$2,636,517",6.44%,-26.01%
Preston County,81.25%,16,"$8,006,798",11.17%,-24.98%
Putnam County,55.56%,9,"$8,740,115",43.50%,-13.32%
Raleigh County,75.00%,28,"$42,831,362",6.43%,-39.46%
Randolph County,85.71%,21,"$23,456,772",6.44%,-28.21%
Ritchie County,100.00%,5,"$4,566,159",17.17%,-35.70%
Roane County,85.71%,7,"$6,168,876",-2.86%,-30.86%
Summers County,80.00%,5,"$2,730,005",13.01%,-60.15%
Taylor County,100.00%,7,"$6,352,722",6.98%,-11.96%
Tucker County,87.50%,8,"$8,319,301",7.58%,-25.41%
Tyler County,60.00%,5,"$1,662,399",16.47%,-24.44%
Upshur County,64.29%,14,"$19,300,696",6.90%,-29.58%
Wayne County,57.14%,7,"$5,733,082",16.15%,-6.08%
Webster County,100.00%,3,"$6,105,900",-2.35%,-27.48%
Wetzel County,55.56%,9,"$3,848,787",9.13%,-5.83%
Wirt County,100.00%,2,"$5,384,850",1.31%,-31.28%
Wood County,78.57%,42,"$27,545,206",10.56%,-28.79%
Wyoming County,66.67%,6,"$13,820,409",7.01%,-44.51%
