Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,60.11%,351,"$35,901,957",12.49%,-7.30%
$10M or more,74.09%,220,"$3,340,540,715",5.46%,-16.19%
$1M to $4.9M,69.92%,472,"$544,753,810",8.02%,-17.23%
$500K to $999K,67.06%,252,"$88,827,456",9.16%,-12.88%
$5M to $9.9M,67.24%,174,"$452,930,951",6.47%,-12.12%
Less than $100K,34.88%,43,"$4,734,638",42.90%,8.59%
Total,66.47%,"1,512","$4,467,689,527",8.49%,-12.82%
