Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
North Dakota,61.94%,465,"$488,021,471",9.63%,-7.12%
Adams County,50.00%,2,"$2,411,226",8.95%,0.78%
Barnes County,62.50%,8,"$3,949,890",7.94%,-6.66%
Benson County,50.00%,2,"$15,238,133",33.24%,-30.72%
Billings County,0.00%,2,"$5,500,176",50.62%,35.34%
Bottineau County,100.00%,4,"$1,417,308",-8.01%,-40.90%
Bowman County,83.33%,6,"$4,037,759",2.63%,-14.22%
Burleigh County,68.85%,61,"$91,623,848",8.44%,-18.05%
Cass County,54.76%,84,"$90,162,134",10.04%,-2.53%
Cavalier County,80.00%,5,"$1,573,244",6.24%,-3.11%
Dickey County,60.00%,5,"$2,041,437",8.58%,-12.23%
Divide County,100.00%,1,"$771,047",-12.43%,-21.25%
Dunn County,60.00%,5,"$738,402",29.88%,-13.17%
Eddy County,66.67%,3,"$1,179,313",6.92%,-7.08%
Emmons County,100.00%,3,"$2,421,293",10.03%,-7.50%
Foster County,33.33%,3,"$764,669",9.92%,5.23%
Golden Valley County,100.00%,3,"$274,985",2.36%,-13.33%
Grand Forks County,62.22%,45,"$32,815,451",6.64%,-12.23%
Grant County,60.00%,5,"$1,364,485",5.18%,-8.74%
Griggs County,33.33%,3,"$1,198,822",14.95%,3.64%
LaMoure County,80.00%,5,"$899,601",14.25%,-3.72%
Logan County,66.67%,3,"$201,123",1.21%,-1.95%
McHenry County,50.00%,2,"$334,836",27.83%,4.97%
McIntosh County,100.00%,3,"$3,465,675",8.71%,-6.20%
McKenzie County,50.00%,8,"$6,049,620",28.77%,0.79%
McLean County,100.00%,5,"$5,214,120",3.23%,-42.47%
Mercer County,62.50%,8,"$7,104,051",6.70%,-12.17%
Morton County,62.50%,16,"$7,257,692",8.37%,-4.36%
Mountrail County,25.00%,4,"$499,183",12.03%,7.98%
Nelson County,60.00%,5,"$1,084,101",4.05%,-5.31%
Pembina County,80.00%,10,"$2,062,254",6.43%,-19.03%
Pierce County,33.33%,6,"$8,261,047",13.49%,1.07%
Ramsey County,60.00%,10,"$5,349,243",14.41%,-11.97%
Ransom County,60.00%,5,"$1,477,295",9.98%,-13.92%
Renville County,100.00%,1,"$88,287",-9.38%,-28.50%
Richland County,60.00%,10,"$7,850,121",3.95%,-9.86%
Rolette County,90.00%,10,"$33,785,156",4.62%,-38.70%
Sargent County,50.00%,2,"$689,324",19.06%,-5.05%
Sioux County,100.00%,2,"$16,362,686",-6.28%,-96.72%
Stark County,71.43%,21,"$24,095,380",12.98%,-23.56%
Steele County,0.00%,1,"$3,000",5.77%,4.50%
Stutsman County,50.00%,12,"$10,499,456",18.34%,-0.20%
Towner County,50.00%,2,"$3,058,574",48.65%,37.99%
Traill County,60.00%,5,"$1,125,092",13.02%,-2.29%
Walsh County,54.55%,11,"$8,603,511",9.41%,-1.69%
Ward County,51.52%,33,"$53,546,348",11.31%,-10.95%
Wells County,50.00%,2,"$2,625,196",10.94%,-9.20%
Williams County,53.85%,13,"$16,945,877",9.94%,-3.12%
