Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,68.99%,977,"$98,725,235",9.34%,-15.96%
$10M or more,66.99%,412,"$3,273,952,180",4.10%,-5.03%
$1M to $4.9M,71.16%,756,"$671,853,397",7.92%,-13.58%
$500K to $999K,69.32%,414,"$101,563,823",8.34%,-12.34%
$5M to $9.9M,77.82%,248,"$746,809,799",3.25%,-13.99%
Less than $100K,46.47%,170,"$7,355,595",42.54%,3.56%
Total,68.76%,"2,977","$4,900,260,029",7.80%,-11.70%
