Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
North Dakota,61.94%,465,"$488,021,471",9.63%,-7.12%
Congressional district (at large),61.94%,465,"$488,021,471",9.63%,-7.12%
