Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",66.25%,80,"$53,699,542",11.58%,-15.38%
Education,72.06%,68,"$109,041,208",9.20%,-13.10%
Environment and animals,64.00%,75,"$39,383,766",9.87%,-12.69%
Health,64.52%,62,"$144,808,995",7.27%,-20.35%
Hospitals,42.86%,7,"$77,923,568",9.43%,0.32%
Human services,69.75%,162,"$257,066,407",10.61%,-18.48%
"International, foreign affairs",87.50%,8,"$26,125,058",7.71%,-30.47%
"Public, societal benefit",67.80%,59,"$235,196,549",4.79%,-15.44%
Religion-related,66.67%,3,"$12,634,018",-3.97%,-30.02%
Unclassified,81.20%,133,"$265,373,272",5.46%,-33.59%
Universities,80.00%,5,"$32,373,104",8.81%,-10.69%
Total,70.54%,662,"$1,253,625,487",8.63%,-18.12%
