Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Missouri,68.24%,"2,018","$4,294,446,233",7.74%,-12.32%
Adair County,76.47%,17,"$26,999,998",1.74%,-20.64%
Andrew County,100.00%,3,"$481,369",22.11%,-39.29%
Atchison County,75.00%,4,"$765,171",3.08%,-7.35%
Audrain County,100.00%,5,"$4,489,646",10.21%,-19.89%
Barry County,40.00%,10,"$4,100,281",19.89%,1.79%
Barton County,66.67%,3,"$2,120,832",8.39%,-18.88%
Bates County,66.67%,3,"$403,224",-6.63%,-9.98%
Benton County,100.00%,1,"$22,834",-0.21%,-13.15%
Bollinger County,100.00%,2,"$103,295",-200.52%,-234.36%
Boone County,58.62%,87,"$93,591,268",16.25%,-6.64%
Buchanan County,71.43%,42,"$41,493,838",8.91%,-15.23%
Butler County,90.91%,11,"$3,496,558",4.31%,-29.09%
Caldwell County,100.00%,1,"$59,167",-6.43%,-39.19%
Callaway County,81.82%,11,"$14,373,169",7.07%,-21.97%
Camden County,90.00%,10,"$10,733,534",8.84%,-17.13%
Cape Girardeau County,79.41%,34,"$60,531,550",8.71%,-19.00%
Carroll County,83.33%,6,"$2,011,907",7.35%,-28.92%
Carter County,100.00%,2,"$248,016",-9.42%,-52.98%
Cass County,53.85%,13,"$10,657,172",17.52%,-1.37%
Cedar County,0.00%,2,"$8,512",4.77%,2.05%
Chariton County,100.00%,1,"$140,000",-11.47%,-62.38%
Christian County,88.89%,9,"$2,746,273",10.80%,-19.19%
Clark County,66.67%,3,"$172,522",9.42%,-1.14%
Clay County,59.46%,37,"$22,499,037",11.87%,-8.62%
Clinton County,80.00%,5,"$3,768,334",4.72%,-7.38%
Cole County,77.55%,49,"$60,286,928",7.15%,-31.82%
Cooper County,50.00%,6,"$1,302,855",16.58%,-1.52%
Crawford County,100.00%,2,"$213,859",1.57%,-46.07%
Dade County,100.00%,1,"$114,275",12.31%,-1.29%
Dallas County,50.00%,4,"$127,345",17.64%,-7.57%
Daviess County,50.00%,2,"$1,698,853",15.43%,-34.22%
DeKalb County,50.00%,2,"$131,349",8.35%,-0.81%
Dent County,75.00%,4,"$633,918",4.46%,-18.18%
Douglas County,100.00%,2,"$6,499,391",5.25%,-29.45%
Dunklin County,88.89%,9,"$59,249,511",3.80%,-56.34%
Franklin County,82.35%,17,"$12,850,396",5.99%,-19.63%
Gasconade County,66.67%,6,"$512,334",-6.62%,-21.29%
Gentry County,100.00%,3,"$4,025,952",0.39%,-65.27%
Greene County,59.80%,102,"$306,003,892",13.42%,-6.28%
Grundy County,80.00%,5,"$5,616,997",13.30%,-55.85%
Harrison County,66.67%,3,"$364,056",9.61%,-20.82%
Henry County,80.00%,5,"$314,858",-22.23%,-66.67%
Hickory County,100.00%,2,"$5,180,048",-5.34%,-24.94%
Holt County,100.00%,1,"$162,591",23.64%,-50.10%
Howard County,75.00%,4,"$7,119,983",-0.12%,-41.31%
Howell County,73.33%,15,"$23,997,839",5.01%,-6.51%
Iron County,75.00%,4,"$567,730",-15.27%,-21.15%
Jackson County,64.86%,333,"$834,567,418",9.45%,-12.59%
Jasper County,75.00%,28,"$38,397,263",4.06%,-20.33%
Jefferson County,60.00%,15,"$28,374,947",7.72%,-18.41%
Johnson County,90.00%,10,"$7,614,925",6.81%,-36.30%
Laclede County,100.00%,7,"$4,473,883",0.00%,-95.75%
Lafayette County,91.67%,12,"$10,234,140",3.42%,-29.66%
Lawrence County,66.67%,3,"$2,389,129",13.63%,-0.63%
Lewis County,75.00%,4,"$2,872,431",-3.31%,-33.17%
Lincoln County,66.67%,6,"$2,419,670",10.95%,-9.02%
Linn County,75.00%,4,"$1,771,125",3.00%,-46.33%
Livingston County,80.00%,10,"$2,801,099",4.37%,-23.02%
Macon County,100.00%,4,"$572,709",6.66%,-16.09%
Madison County,66.67%,3,"$5,057,299",2.78%,-12.19%
Marion County,46.67%,15,"$20,534,563",3.13%,1.95%
Mercer County,100.00%,1,"$12,000",4.97%,-0.29%
Miller County,50.00%,2,"$364,349",17.13%,-23.61%
Mississippi County,100.00%,6,"$4,409,980",-8.15%,-80.64%
Moniteau County,100.00%,1,"$18,303",-14.35%,-34.72%
Monroe County,100.00%,4,"$1,376,353",4.99%,-45.92%
Morgan County,66.67%,6,"$397,966",3.94%,-23.95%
New Madrid County,100.00%,3,"$3,390,700",1.41%,-67.08%
Newton County,62.50%,8,"$19,651,764",1.49%,-8.84%
Nodaway County,70.00%,10,"$10,609,586",9.28%,-36.80%
Oregon County,100.00%,1,"$237,068",30.06%,-24.91%
Osage County,50.00%,2,"$29,878",-20.85%,-32.06%
Pemiscot County,100.00%,4,"$884,432",5.56%,-56.55%
Perry County,71.43%,7,"$1,966,596",6.80%,-63.20%
Pettis County,84.62%,13,"$24,194,764",8.54%,-36.79%
Phelps County,70.59%,17,"$18,590,246",9.44%,-9.81%
Pike County,100.00%,5,"$14,727,232",-0.09%,-37.86%
Platte County,54.17%,24,"$32,931,450",13.04%,-2.67%
Polk County,100.00%,7,"$15,596,249",3.52%,-16.20%
Pulaski County,88.89%,9,"$21,981,917",10.36%,-34.79%
Ralls County,100.00%,2,"$357,252",47.18%,-9.64%
Randolph County,83.33%,12,"$5,258,268",16.46%,-27.66%
Ray County,100.00%,4,"$1,673,990",-0.74%,-55.24%
Reynolds County,80.00%,5,"$9,645,450",11.23%,-7.72%
Ripley County,100.00%,3,"$578,752",2.83%,-40.14%
Saline County,66.67%,12,"$27,977,074",2.94%,-24.60%
Schuyler County,100.00%,1,"$356,923",16.28%,-80.04%
Scotland County,66.67%,3,"$297,370",-3.93%,-7.73%
Scott County,71.43%,14,"$43,960,066",9.03%,-13.07%
Shannon County,100.00%,3,"$13,313,383",6.84%,-60.18%
Shelby County,66.67%,3,"$380,203",8.20%,-18.82%
St. Charles County,48.57%,35,"$64,374,942",13.01%,1.45%
St. Clair County,100.00%,2,"$12,219,943",1.43%,-54.99%
St. Francois County,81.82%,11,"$25,649,844",10.08%,-19.58%
St. Louis County,62.74%,424,"$818,675,260",4.41%,-5.72%
St. Louis city,72.62%,263,"$1,283,634,162",9.37%,-18.64%
Ste. Genevieve County,66.67%,6,"$599,689",-0.08%,-27.41%
Stoddard County,33.33%,3,"$593,917",16.09%,1.77%
Stone County,50.00%,6,"$860,792",18.82%,2.11%
Sullivan County,100.00%,1,"$576,393",7.05%,-14.16%
Taney County,50.00%,18,"$25,189,378",12.67%,0.08%
Texas County,85.71%,7,"$2,243,951",5.61%,-18.56%
Vernon County,75.00%,4,"$4,391,716",8.66%,-13.36%
Warren County,75.00%,8,"$5,842,630",11.41%,-29.28%
Washington County,100.00%,2,"$5,954,300",15.49%,-33.78%
Wayne County,50.00%,4,"$338,035",7.58%,-0.65%
Webster County,75.00%,4,"$2,594,886",3.45%,-26.97%
Wright County,50.00%,4,"$463,763",11.20%,-0.57%
