Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",50.98%,102,"$53,128,327",19.10%,-2.42%
Education,71.28%,94,"$59,993,905",8.49%,-9.71%
Environment and animals,50.00%,44,"$18,254,609",14.31%,0.15%
Health,71.65%,127,"$332,287,308",6.03%,-16.04%
Hospitals,50.00%,40,"$280,309,035",10.39%,-0.23%
Human services,70.14%,365,"$300,929,272",8.19%,-16.98%
"International, foreign affairs",60.00%,10,"$912,676",3.88%,-6.99%
"Public, societal benefit",69.41%,85,"$212,415,515",8.25%,-27.18%
Religion-related,44.44%,27,"$14,418,526",16.17%,5.74%
Unclassified,68.30%,265,"$1,162,975,601",7.46%,-10.77%
Universities,50.00%,16,"$109,751,669",8.84%,-0.20%
Total,65.87%,"1,175","$2,545,376,443",9.03%,-10.71%
