Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Texas,66.04%,"5,033","$18,786,343,498",9.15%,-11.74%
Anderson County,60.00%,5,"$1,424,785",8.79%,-9.61%
Andrews County,100.00%,1,"$352,924",-9.39%,-92.19%
Angelina County,83.33%,30,"$86,914,403",3.68%,-25.58%
Aransas County,63.64%,11,"$1,464,915",14.12%,-13.06%
Archer County,100.00%,1,"$231,000",72.65%,-12.62%
Armstrong County,0.00%,1,"$45,242",15.64%,10.03%
Atascosa County,85.71%,7,"$8,687,367",11.65%,-47.65%
Austin County,71.43%,7,"$1,182,305",29.67%,-22.08%
Bandera County,30.00%,10,"$1,286,750",22.70%,10.26%
Bastrop County,70.00%,20,"$11,649,029",9.10%,-26.75%
Baylor County,100.00%,1,"$18,200",-5.37%,-12.50%
Bee County,75.00%,4,"$6,845,848",5.33%,-65.16%
Bell County,64.91%,57,"$100,065,733",11.24%,-18.90%
Bexar County,73.26%,374,"$4,814,943,149",6.35%,-19.80%
Blanco County,100.00%,1,"$439,115",48.32%,-44.96%
Bosque County,66.67%,3,"$845,109",12.57%,-13.08%
Bowie County,89.47%,19,"$54,335,371",4.90%,-27.67%
Brazoria County,85.19%,54,"$36,098,331",3.91%,-22.59%
Brazos County,60.42%,48,"$75,226,927",13.38%,-9.20%
Brewster County,88.89%,9,"$5,320,488",10.02%,-31.39%
Briscoe County,100.00%,1,"$26,904",28.00%,-2.95%
Brown County,60.00%,10,"$5,234,689",9.85%,-4.41%
Burleson County,50.00%,2,"$28,500",38.93%,34.02%
Burnet County,78.57%,14,"$4,451,161",12.47%,-30.45%
Caldwell County,50.00%,6,"$127,109",5.91%,2.13%
Calhoun County,100.00%,3,"$838,111",-0.72%,-15.50%
Callahan County,50.00%,2,"$75,107",4.53%,-5.14%
Cameron County,70.91%,55,"$133,059,957",5.34%,-20.73%
Camp County,100.00%,1,"$17,764",12.75%,-12.29%
Carson County,50.00%,2,"$118,356",3.26%,-25.30%
Cass County,100.00%,1,"$12,985,806",2.00%,-97.05%
Castro County,100.00%,2,"$625,992",-16.51%,-77.65%
Chambers County,80.00%,5,"$14,862,183",15.70%,-54.38%
Cherokee County,75.00%,4,"$1,814,944",-3.24%,-13.21%
Childress County,100.00%,1,"$104,249",22.51%,-20.38%
Clay County,50.00%,2,"$956,437",7.48%,-8.46%
Cochran County,100.00%,1,"$205,687",6.71%,-83.85%
Coleman County,100.00%,2,"$10,601,878",8.33%,-52.29%
Collin County,60.16%,128,"$121,740,759",9.69%,-4.71%
Colorado County,66.67%,3,"$2,855,443",0.58%,-96.02%
Comal County,52.38%,42,"$21,809,827",16.36%,-3.01%
Comanche County,66.67%,3,"$3,226,863",24.34%,-6.26%
Concho County,100.00%,1,"$55,033",25.65%,-12.54%
Cooke County,50.00%,14,"$7,319,360",21.57%,-2.07%
Coryell County,50.00%,2,"$161,742",12.46%,-24.03%
Crosby County,100.00%,1,"$162,362",-44.21%,-114.14%
Dallam County,60.00%,5,"$680,607",32.92%,-2.14%
Dallas County,59.18%,539,"$1,923,437,887",9.55%,-7.11%
Dawson County,100.00%,2,"$33,661,867",1.44%,-49.72%
DeWitt County,75.00%,4,"$180,095",5.99%,-81.37%
Deaf Smith County,75.00%,4,"$635,880",14.57%,-29.33%
Denton County,68.35%,79,"$102,052,342",9.55%,-10.47%
Dimmit County,80.00%,5,"$5,558,196",9.77%,-32.23%
Donley County,100.00%,1,"$85,647",9.06%,-20.84%
Eastland County,100.00%,3,"$223,525",15.70%,-24.37%
Ector County,66.67%,24,"$22,670,860",9.14%,-34.31%
Edwards County,100.00%,1,"$21,932",-4.60%,-9.30%
El Paso County,76.92%,104,"$390,545,484",3.92%,-34.14%
Ellis County,68.18%,22,"$11,044,240",6.16%,-22.58%
Erath County,75.00%,8,"$3,093,487",5.56%,-61.08%
Falls County,100.00%,2,"$406,021",-56.51%,-86.77%
Fannin County,100.00%,3,"$990,905",-14.84%,-39.79%
Fayette County,63.64%,11,"$4,733,689",25.93%,-5.51%
Fisher County,50.00%,2,"$560,788",24.50%,-6.42%
Floyd County,75.00%,4,"$822,622",27.63%,-19.21%
Foard County,66.67%,3,"$29,997,556",12.49%,-73.77%
Fort Bend County,72.22%,54,"$44,451,568",9.58%,-13.18%
Franklin County,0.00%,1,"$15,500",45.64%,44.70%
Freestone County,75.00%,4,"$856,881",-4.50%,-26.49%
Frio County,100.00%,2,"$3,539,931",0.43%,-10.74%
Gaines County,100.00%,1,"$384,590",13.85%,-75.06%
Galveston County,59.68%,62,"$56,742,549",8.88%,-7.89%
Garza County,100.00%,3,"$397,176",5.04%,-46.33%
Gillespie County,45.83%,24,"$11,425,473",15.33%,3.30%
Goliad County,100.00%,4,"$424,010",-9.81%,-21.57%
Gonzales County,100.00%,1,"$7,187,357",4.70%,-33.95%
Gray County,83.33%,6,"$1,848,772",10.26%,-43.99%
Grayson County,56.52%,23,"$11,469,593",13.08%,-5.15%
Gregg County,72.97%,37,"$28,043,964",8.55%,-16.35%
Grimes County,100.00%,4,"$857,309",-10.67%,-67.04%
Guadalupe County,80.00%,20,"$32,711,665",3.02%,-28.77%
Hale County,90.91%,11,"$37,760,031",5.00%,-18.92%
Hall County,100.00%,1,"$146,625",9.77%,-25.80%
Hardin County,33.33%,3,"$397,735",32.72%,8.43%
Harris County,60.05%,741,"$4,316,142,980",10.27%,-6.11%
Harrison County,63.64%,11,"$21,916,863",9.15%,-8.40%
Hartley County,100.00%,1,"$119,874",6.99%,-60.34%
Haskell County,100.00%,2,"$201,700",10.23%,-12.16%
Hays County,60.00%,40,"$47,963,893",10.01%,-15.10%
Hemphill County,100.00%,4,"$540,670",21.43%,-19.89%
Henderson County,75.00%,8,"$2,375,373",15.36%,-44.65%
Hidalgo County,76.40%,89,"$1,310,774,760",4.76%,-42.33%
Hill County,66.67%,3,"$293,400",21.65%,-31.72%
Hockley County,100.00%,5,"$67,368,261",3.48%,-32.38%
Hood County,70.00%,10,"$4,598,381",12.18%,-30.39%
Hopkins County,100.00%,3,"$273,637",0.30%,-41.66%
Houston County,50.00%,4,"$2,240,497",-1.20%,-29.81%
Howard County,40.00%,5,"$615,399",53.53%,20.31%
Hunt County,93.33%,15,"$18,913,827",2.07%,-47.29%
Hutchinson County,75.00%,4,"$996,063",6.83%,-45.78%
Jack County,50.00%,2,"$249,861",1.61%,-29.09%
Jackson County,100.00%,1,"$454,811",83.73%,-13.72%
Jasper County,66.67%,3,"$465,194",33.51%,-21.18%
Jeff Davis County,0.00%,1,"$33,082",36.68%,28.90%
Jefferson County,78.69%,61,"$115,801,189",4.96%,-34.51%
Jim Wells County,100.00%,3,"$49,697,436",3.38%,-51.65%
Johnson County,66.67%,24,"$26,954,847",10.10%,-19.51%
Karnes County,50.00%,2,"$56,189",35.09%,-5.46%
Kaufman County,70.59%,17,"$5,430,948",6.17%,-36.60%
Kendall County,50.00%,16,"$2,775,639",14.85%,3.45%
Kerr County,60.00%,25,"$20,565,149",18.51%,-5.02%
Kimble County,0.00%,1,"$125,423",41.05%,14.37%
Kleberg County,100.00%,4,"$906,549",8.06%,-77.27%
La Salle County,100.00%,1,"$6,091,409",6.94%,-63.81%
Lamar County,81.82%,11,"$3,209,006",19.71%,-44.47%
Lamb County,100.00%,2,"$86,367",5.50%,-10.45%
Lampasas County,100.00%,1,"$345,296",-26.20%,-32.02%
Lavaca County,66.67%,3,"$648,018",3.43%,-0.31%
Lee County,57.14%,7,"$5,388,878",24.74%,-2.10%
Leon County,100.00%,2,"$1,052,689",0.73%,-34.46%
Liberty County,100.00%,6,"$6,229,481",-13.55%,-46.41%
Limestone County,0.00%,1,"$3,980",98.50%,97.31%
Llano County,100.00%,3,"$972,836",1.65%,-62.27%
Lubbock County,68.92%,74,"$112,652,860",9.62%,-10.57%
Madison County,0.00%,2,"$37,889",37.66%,34.51%
Marion County,33.33%,3,"$136,561",16.75%,10.91%
Martin County,0.00%,2,"$465,300",84.25%,47.44%
Mason County,100.00%,1,"$190,415",7.64%,-66.47%
Matagorda County,80.00%,10,"$7,731,875",16.72%,-39.54%
Maverick County,100.00%,6,"$13,831,834",3.72%,-48.36%
McCulloch County,100.00%,2,"$605,573",-6.37%,-96.40%
McLennan County,67.16%,67,"$167,438,247",9.44%,-19.54%
McMullen County,50.00%,2,"$475,800",13.86%,-28.89%
Medina County,100.00%,4,"$1,018,423",-8.34%,-63.74%
Menard County,100.00%,1,"$10,000",-0.10%,-15.40%
Midland County,64.29%,70,"$53,752,840",12.53%,-7.92%
Milam County,100.00%,2,"$131,167",8.09%,-5.30%
Mills County,100.00%,1,"$10,700",-39.06%,-50.91%
Montague County,83.33%,6,"$700,589",9.33%,-39.12%
Montgomery County,57.14%,70,"$351,976,424",9.16%,-3.05%
Moore County,100.00%,3,"$351,460",-1.20%,-32.08%
Motley County,50.00%,2,"$18,400",-62.76%,-71.59%
Nacogdoches County,78.57%,14,"$42,717,778",7.00%,-56.08%
Navarro County,85.71%,7,"$7,702,321",4.26%,-10.11%
Newton County,50.00%,2,"$172,826",17.59%,-31.69%
Nolan County,50.00%,2,"$353,010",20.86%,-15.23%
Nueces County,64.29%,70,"$112,398,636",11.69%,-10.37%
Ochiltree County,66.67%,3,"$884,193",9.81%,-30.25%
Oldham County,100.00%,1,"$6,759",-24.40%,-25.66%
Orange County,100.00%,4,"$1,233,586",2.05%,-44.07%
Palo Pinto County,80.00%,5,"$852,078",15.31%,-37.04%
Panola County,100.00%,4,"$661,040",2.20%,-63.33%
Parker County,53.33%,15,"$9,176,281",11.40%,-9.34%
Parmer County,100.00%,1,"$803,308",2.37%,-4.08%
Pecos County,71.43%,7,"$4,966,710",-2.53%,-9.97%
Polk County,57.14%,7,"$4,021,640",13.87%,-0.89%
Potter County,67.39%,46,"$49,511,307",6.45%,-15.02%
Presidio County,75.00%,4,"$3,684,222",-7.68%,-41.23%
Rains County,100.00%,2,"$379,994",6.71%,-45.08%
Randall County,64.29%,14,"$13,064,329",9.99%,-3.67%
Robertson County,50.00%,2,"$27,385",6.48%,-0.85%
Rockwall County,55.56%,9,"$7,285,114",14.09%,-1.94%
Runnels County,0.00%,2,"$52,772",20.82%,6.62%
Rusk County,100.00%,4,"$5,811,503",-3.89%,-83.15%
San Augustine County,100.00%,1,"$505,091",-33.34%,-39.59%
San Jacinto County,100.00%,2,"$226,427",-21.52%,-58.97%
San Patricio County,0.00%,1,"$180,967",20.17%,8.64%
San Saba County,100.00%,3,"$34,077,154",-2.10%,-96.89%
Schleicher County,100.00%,2,"$1,988,078",44.73%,-35.04%
Scurry County,100.00%,2,"$2,405,634",12.91%,-61.19%
Shackelford County,100.00%,1,"$5,324,238",4.45%,-35.29%
Shelby County,100.00%,4,"$14,169,975",11.83%,-14.27%
Smith County,53.85%,65,"$74,488,766",14.64%,-5.60%
