Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",68.75%,48,"$32,126,193",13.50%,-10.17%
Education,73.02%,63,"$198,275,492",5.99%,-60.58%
Environment and animals,45.83%,24,"$251,079,295",26.23%,0.73%
Health,82.35%,34,"$52,746,547",1.68%,-40.03%
Hospitals,33.33%,3,"$37,023,317",9.32%,5.61%
Human services,75.53%,188,"$181,926,849",13.42%,-37.22%
"International, foreign affairs",75.00%,4,"$1,840,864",0.50%,-60.23%
"Public, societal benefit",72.22%,36,"$33,899,900",11.36%,-19.88%
Religion-related,80.00%,5,"$751,535",16.97%,-9.69%
Unclassified,78.15%,119,"$200,328,593",9.02%,-24.92%
Universities,50.00%,4,"$286,148,110",12.51%,1.63%
Total,73.67%,528,"$1,276,146,695",9.98%,-27.86%
