Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,70.39%,206,"$24,752,536",11.93%,-18.27%
$10M or more,66.22%,74,"$851,431,293",5.27%,-9.07%
$1M to $4.9M,72.58%,186,"$185,219,439",8.59%,-20.66%
$500K to $999K,70.00%,120,"$32,921,763",8.61%,-14.43%
$5M to $9.9M,69.57%,46,"$153,486,429",5.52%,-32.49%
Less than $100K,73.33%,30,"$5,814,027",17.69%,-24.27%
Total,70.54%,662,"$1,253,625,487",8.63%,-18.12%
