Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Indiana,65.53%,"2,106","$3,408,980,939",9.93%,-11.73%
1st Congressional district,70.86%,175,"$462,010,446",9.58%,-14.86%
2nd Congressional district,63.14%,255,"$556,379,673",8.14%,-9.43%
3rd Congressional district,54.22%,225,"$257,286,666",11.84%,-1.97%
4th Congressional district,68.75%,160,"$122,296,835",8.45%,-13.29%
5th Congressional district,63.64%,187,"$228,567,358",12.39%,-8.83%
6th Congressional district,67.35%,147,"$165,532,707",8.87%,-17.78%
7th Congressional district,65.21%,480,"$1,140,265,029",9.44%,-12.76%
8th Congressional district,67.26%,226,"$259,333,708",10.25%,-14.25%
9th Congressional district,71.71%,251,"$217,308,517",10.53%,-19.11%
