Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Pennsylvania,66.86%,"6,294","$13,372,111,516",9.60%,-11.47%
Adams County,58.18%,55,"$56,371,119",16.73%,-6.15%
Allegheny County,67.71%,833,"$1,996,467,473",9.72%,-11.29%
Armstrong County,64.29%,28,"$19,395,396",6.59%,-5.57%
Beaver County,69.09%,55,"$43,217,406",8.29%,-17.17%
Bedford County,60.71%,28,"$49,097,030",16.15%,-16.78%
Berks County,64.42%,163,"$150,291,039",11.14%,-11.86%
Blair County,77.94%,68,"$121,664,514",6.84%,-39.97%
Bradford County,62.86%,35,"$43,182,002",8.47%,-22.92%
Bucks County,70.33%,209,"$202,624,926",9.23%,-15.96%
Butler County,69.88%,83,"$77,041,186",6.69%,-11.82%
Cambria County,78.02%,91,"$198,793,704",8.82%,-22.19%
Cameron County,100.00%,4,"$10,886,772",0.49%,-57.76%
Carbon County,78.26%,23,"$4,491,193",10.72%,-16.35%
Centre County,57.32%,82,"$52,608,018",13.42%,-5.27%
Chester County,62.01%,229,"$157,498,996",11.11%,-8.07%
Clarion County,65.38%,26,"$9,497,357",9.64%,-8.82%
Clearfield County,59.65%,57,"$85,645,430",8.91%,-6.39%
Clinton County,73.08%,26,"$11,353,549",2.92%,-24.05%
Columbia County,55.56%,36,"$13,188,178",18.84%,-7.00%
Crawford County,66.10%,59,"$76,937,669",9.05%,-15.03%
Cumberland County,62.70%,126,"$121,593,459",10.25%,-9.27%
Dauphin County,63.93%,183,"$797,495,743",8.13%,-14.40%
Delaware County,70.50%,200,"$305,826,930",7.89%,-11.64%
Elk County,72.41%,29,"$23,639,447",13.82%,-15.47%
Erie County,79.89%,184,"$289,887,885",5.92%,-18.38%
Fayette County,64.58%,48,"$35,035,521",7.27%,-15.71%
Forest County,0.00%,2,"$48,897",25.05%,13.60%
Franklin County,54.55%,77,"$68,502,157",15.68%,-3.15%
Fulton County,100.00%,7,"$6,524,688",1.06%,-29.20%
Greene County,75.00%,16,"$16,106,139",11.09%,-19.29%
Huntingdon County,71.43%,28,"$16,128,571",4.11%,-13.87%
Indiana County,60.00%,45,"$38,879,242",10.66%,-10.08%
Jefferson County,60.87%,23,"$16,431,578",9.45%,-3.14%
Juniata County,50.00%,14,"$1,312,940",17.52%,1.68%
Lackawanna County,69.72%,109,"$155,512,373",8.15%,-11.33%
Lancaster County,59.00%,261,"$180,284,614",13.57%,-5.68%
Lawrence County,77.50%,40,"$587,970,853",7.27%,-53.51%
Lebanon County,63.79%,58,"$22,369,322",13.48%,-5.27%
Lehigh County,69.33%,163,"$482,896,013",5.61%,-13.15%
Luzerne County,62.50%,104,"$159,240,410",12.10%,-6.98%
Lycoming County,78.85%,52,"$157,348,621",4.87%,-25.53%
McKean County,75.00%,24,"$20,723,247",11.44%,-10.93%
Mercer County,70.00%,60,"$102,614,310",5.97%,-25.44%
Mifflin County,80.77%,26,"$15,435,495",4.39%,-12.53%
Monroe County,75.51%,49,"$47,192,227",13.52%,-31.18%
Montgomery County,60.74%,377,"$473,356,137",10.57%,-7.53%
Montour County,50.00%,22,"$82,365,002",9.90%,0.85%
Northampton County,71.15%,104,"$172,077,050",8.46%,-15.62%
Northumberland County,62.50%,32,"$22,947,469",12.45%,-4.95%
Perry County,50.00%,24,"$1,978,005",28.18%,1.79%
Philadelphia County,69.64%,873,"$4,713,351,406",9.33%,-12.04%
Pike County,91.30%,23,"$5,031,221",3.39%,-45.06%
Potter County,70.00%,10,"$1,156,286",4.77%,-26.39%
Schuylkill County,63.64%,66,"$33,125,772",10.27%,-6.92%
Snyder County,62.50%,8,"$2,448,370",9.58%,-10.75%
Somerset County,57.50%,40,"$70,514,293",19.40%,-7.24%
Sullivan County,50.00%,4,"$146,542",33.95%,18.06%
Susquehanna County,59.09%,22,"$18,670,968",13.86%,-3.53%
Tioga County,63.89%,36,"$20,551,685",14.49%,-7.70%
Union County,72.41%,29,"$42,844,316",9.40%,-12.20%
Venango County,72.00%,25,"$5,936,038",11.00%,-19.79%
Warren County,59.38%,32,"$24,620,238",14.95%,-9.36%
Washington County,76.19%,84,"$146,855,583",7.41%,-15.40%
Wayne County,67.65%,34,"$25,636,693",13.12%,-10.17%
Westmoreland County,59.71%,139,"$141,795,462",16.29%,-6.23%
Wyoming County,77.78%,18,"$9,236,259",1.48%,-12.94%
York County,63.79%,174,"$308,213,082",11.13%,-7.68%
