Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",65.43%,486,"$372,588,997",10.39%,-9.98%
Education,65.28%,553,"$3,715,283,056",9.69%,-10.45%
Environment and animals,47.72%,197,"$232,718,706",14.20%,0.52%
Health,66.36%,431,"$854,096,921",9.17%,-15.29%
Hospitals,50.00%,66,"$632,965,697",4.20%,-0.25%
Human services,70.31%,"1,546","$3,958,014,948",7.85%,-16.72%
"International, foreign affairs",51.35%,74,"$11,852,324",8.32%,-1.23%
Mutual/membership benefit,80.00%,5,"$431,713",-0.27%,-32.40%
"Public, societal benefit",65.00%,380,"$1,584,262,448",13.02%,-18.27%
Religion-related,51.23%,244,"$122,695,640",11.68%,-0.85%
Unclassified,70.60%,"1,000","$6,222,003,726",7.97%,-16.46%
Universities,49.02%,51,"$1,079,429,322",7.94%,0.23%
Total,66.04%,"5,033","$18,786,343,498",9.15%,-11.74%
