Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,65.00%,160,"$16,010,373",9.69%,-12.88%
$10M or more,53.62%,69,"$300,750,070",6.46%,-1.34%
$1M to $4.9M,70.09%,107,"$85,311,842",6.81%,-10.25%
$500K to $999K,67.12%,73,"$33,127,426",16.52%,-8.74%
$5M to $9.9M,54.84%,31,"$51,675,015",8.71%,-0.83%
Less than $100K,24.00%,25,"$1,146,745",52.15%,20.55%
Total,61.94%,465,"$488,021,471",9.63%,-7.12%
