Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Illinois,67.56%,"3,567","$10,864,976,128",8.05%,-13.52%
10th Congressional district,58.17%,153,"$151,160,350",9.84%,-4.68%
11th Congressional district,67.88%,137,"$768,986,171",8.86%,-9.32%
12th Congressional district,82.07%,145,"$235,063,314",3.38%,-39.42%
13th Congressional district,73.22%,295,"$594,060,643",5.95%,-19.80%
14th Congressional district,73.64%,110,"$154,843,705",5.52%,-21.05%
15th Congressional district,63.13%,179,"$215,729,981",8.00%,-10.12%
16th Congressional district,63.27%,147,"$124,835,127",7.87%,-11.29%
17th Congressional district,71.69%,332,"$1,132,994,671",6.95%,-17.98%
1st Congressional district,73.99%,173,"$1,861,535,201",7.56%,-27.16%
2nd Congressional district,73.84%,172,"$277,344,685",5.67%,-27.52%
3rd Congressional district,72.59%,135,"$353,401,252",6.94%,-18.08%
4th Congressional district,73.28%,116,"$370,265,748",8.10%,-16.71%
5th Congressional district,60.76%,237,"$434,455,592",10.77%,-5.93%
6th Congressional district,58.59%,128,"$277,392,000",8.25%,-8.41%
7th Congressional district,64.99%,737,"$3,448,206,588",8.70%,-12.52%
8th Congressional district,61.07%,131,"$191,186,100",8.29%,-12.69%
9th Congressional district,63.33%,240,"$273,515,000",9.71%,-5.59%
