Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,73.90%,272,"$36,883,679",8.89%,-33.81%
$10M or more,76.98%,139,"$1,158,713,029",3.39%,-10.37%
$1M to $4.9M,72.41%,203,"$195,318,186",7.83%,-16.87%
$500K to $999K,76.76%,142,"$39,878,819",6.92%,-24.29%
$5M to $9.9M,85.71%,56,"$161,462,085",8.63%,-9.40%
Less than $100K,75.81%,62,"$7,241,912",22.11%,-34.07%
Total,75.40%,874,"$1,599,497,710",6.87%,-21.16%
