Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Maine,61.15%,937,"$1,528,789,623",10.59%,-7.86%
Androscoggin County,81.54%,65,"$179,633,093",7.11%,-20.09%
Aroostook County,84.38%,32,"$87,084,736",4.97%,-18.10%
Cumberland County,59.34%,273,"$447,476,542",11.49%,-5.68%
Franklin County,52.63%,19,"$15,462,523",18.51%,-1.95%
Hancock County,47.44%,78,"$154,519,172",17.46%,2.87%
Kennebec County,71.95%,82,"$178,408,470",6.26%,-18.64%
Knox County,47.92%,48,"$12,765,918",13.06%,0.56%
Lincoln County,50.00%,42,"$19,356,845",16.53%,2.29%
Oxford County,54.84%,31,"$12,542,179",11.41%,-7.29%
Penobscot County,72.41%,87,"$229,348,968",4.83%,-9.54%
Piscataquis County,55.56%,9,"$1,557,999",16.90%,-1.23%
Sagadahoc County,50.00%,18,"$16,671,353",15.40%,1.14%
Somerset County,52.38%,21,"$12,352,617",11.80%,-2.85%
Waldo County,58.33%,24,"$13,453,248",13.10%,-9.33%
Washington County,60.00%,35,"$27,027,251",17.02%,-8.52%
York County,56.16%,73,"$121,128,709",14.69%,-3.50%
