Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Maryland,69.35%,"2,542","$6,370,607,275",8.48%,-15.39%
Allegany County,80.95%,42,"$35,699,469",4.54%,-28.46%
Anne Arundel County,62.87%,202,"$382,699,750",9.12%,-7.04%
Baltimore County,71.60%,243,"$330,973,009",6.41%,-17.30%
Baltimore city,71.27%,456,"$2,688,383,085",5.06%,-18.17%
Calvert County,73.33%,30,"$11,500,139",4.80%,-11.04%
Caroline County,65.00%,20,"$19,743,417",25.10%,-5.40%
Carroll County,75.47%,53,"$53,687,752",8.48%,-18.48%
Cecil County,70.59%,34,"$16,255,429",10.76%,-26.68%
Charles County,79.63%,54,"$55,518,788",2.24%,-33.62%
Dorchester County,75.00%,20,"$15,203,105",30.19%,-20.09%
Frederick County,63.44%,93,"$93,229,925",10.61%,-8.51%
Garrett County,80.95%,21,"$22,057,220",9.54%,-33.44%
Harford County,71.95%,82,"$63,333,225",11.85%,-19.43%
Howard County,65.62%,128,"$202,066,163",8.81%,-11.13%
Kent County,57.14%,21,"$12,975,413",23.90%,-5.38%
Montgomery County,65.45%,521,"$1,598,265,108",9.52%,-10.24%
Prince George's County,70.87%,206,"$388,310,455",11.41%,-20.96%
Queen Anne's County,84.62%,26,"$10,759,984",5.36%,-19.30%
Somerset County,93.33%,15,"$25,201,364",10.81%,-53.01%
St. Mary's County,63.41%,41,"$20,073,255",12.06%,-10.94%
Talbot County,67.39%,46,"$130,256,993",9.57%,-27.38%
Washington County,67.01%,97,"$90,991,355",8.58%,-14.78%
Wicomico County,75.41%,61,"$87,814,272",9.34%,-21.45%
Worcester County,80.00%,30,"$15,608,600",6.82%,-43.97%
