Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,75.78%,479,"$64,594,047",9.14%,-28.19%
$10M or more,80.25%,81,"$1,678,751,064",6.84%,-24.33%
$1M to $4.9M,74.50%,302,"$278,325,205",6.66%,-16.77%
$500K to $999K,71.89%,217,"$61,631,492",7.42%,-20.45%
$5M to $9.9M,72.73%,66,"$203,932,131",3.11%,-19.00%
Less than $100K,64.29%,126,"$6,646,821",26.67%,-23.73%
Total,73.80%,"1,271","$2,293,880,760",7.76%,-23.91%
