Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Maryland,69.35%,"2,542","$6,370,607,275",8.48%,-15.39%
1st Congressional district,73.02%,367,"$398,900,990",10.72%,-23.50%
2nd Congressional district,68.33%,281,"$1,920,187,583",7.28%,-11.06%
3rd Congressional district,64.59%,305,"$573,717,446",8.79%,-8.75%
4th Congressional district,71.17%,163,"$327,273,408",11.43%,-21.95%
5th Congressional district,70.20%,198,"$164,974,781",7.88%,-17.47%
6th Congressional district,70.23%,309,"$286,566,459",8.46%,-16.08%
7th Congressional district,73.74%,457,"$1,149,782,610",4.40%,-21.16%
8th Congressional district,64.19%,458,"$1,548,112,413",9.72%,-9.96%
Delegate district (at large),75.00%,4,"$1,091,585",11.17%,-28.77%
