Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,70.43%,186,"$24,226,801",5.43%,-25.78%
$10M or more,77.78%,81,"$696,622,865",3.65%,-9.38%
$1M to $4.9M,77.22%,158,"$172,060,675",6.30%,-34.68%
$500K to $999K,78.57%,98,"$41,135,702",3.69%,-36.19%
$5M to $9.9M,76.60%,47,"$180,645,083",7.20%,-35.45%
Less than $100K,72.09%,43,"$4,089,857",15.34%,-27.42%
Total,75.04%,613,"$1,118,780,983",5.83%,-26.56%
