Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",65.03%,183,"$111,407,548",12.14%,-12.78%
Education,66.32%,285,"$967,851,372",8.64%,-8.72%
Environment and animals,54.65%,86,"$28,770,026",15.77%,-2.83%
Health,71.22%,205,"$314,117,918",7.32%,-18.45%
Hospitals,42.11%,38,"$192,012,025",7.75%,2.29%
Human services,69.86%,720,"$597,839,886",8.13%,-18.01%
"International, foreign affairs",68.00%,25,"$343,289,485",5.69%,-6.24%
Mutual/membership benefit,100.00%,3,"$2,247,915",1.44%,-89.21%
"Public, societal benefit",66.27%,169,"$328,863,725",9.15%,-21.09%
Religion-related,48.54%,103,"$49,943,110",12.80%,1.22%
Unclassified,70.53%,380,"$1,240,757,451",8.91%,-16.29%
Universities,63.33%,30,"$1,302,286,423",5.83%,-6.05%
Total,66.86%,"2,227","$5,479,386,884",8.99%,-12.56%
