Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,65.24%,866,"$103,664,062",12.28%,-11.24%
$10M or more,74.53%,318,"$5,364,110,833",5.05%,-11.34%
$1M to $4.9M,67.34%,845,"$695,142,962",9.60%,-10.48%
$500K to $999K,67.30%,529,"$148,229,629",11.45%,-12.54%
$5M to $9.9M,67.05%,176,"$504,746,728",9.21%,-14.14%
Less than $100K,35.00%,100,"$8,483,599",47.02%,12.00%
Total,66.34%,"2,834","$6,824,377,813",10.50%,-10.68%
