Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Texas,66.04%,"5,033","$18,786,343,498",9.15%,-11.74%
10th Congressional district,68.87%,151,"$123,602,158",9.11%,-9.09%
11th Congressional district,66.85%,181,"$242,228,291",9.55%,-14.61%
12th Congressional district,60.39%,154,"$286,563,486",10.25%,-4.82%
13th Congressional district,73.44%,192,"$198,910,204",9.07%,-17.50%
14th Congressional district,75.38%,130,"$143,989,364",5.86%,-19.73%
15th Congressional district,77.11%,83,"$358,582,909",4.50%,-47.06%
16th Congressional district,76.47%,102,"$389,359,658",3.92%,-33.83%
17th Congressional district,75.50%,151,"$392,090,547",6.04%,-19.90%
18th Congressional district,64.07%,167,"$453,528,618",11.74%,-10.17%
19th Congressional district,69.40%,183,"$349,031,930",10.22%,-13.32%
1st Congressional district,67.95%,156,"$218,258,723",9.95%,-14.83%
20th Congressional district,77.00%,100,"$996,608,593",6.68%,-17.29%
21st Congressional district,55.05%,218,"$3,201,882,444",13.18%,-2.75%
22nd Congressional district,75.32%,77,"$44,065,633",9.30%,-17.61%
23rd Congressional district,77.32%,97,"$89,811,972",6.94%,-31.39%
24th Congressional district,51.97%,127,"$103,315,361",11.64%,-2.19%
25th Congressional district,68.60%,121,"$144,298,683",8.81%,-18.94%
26th Congressional district,62.86%,70,"$51,317,437",9.54%,-9.53%
27th Congressional district,67.67%,133,"$149,106,425",10.65%,-11.94%
28th Congressional district,81.93%,83,"$311,836,268",3.95%,-45.71%
29th Congressional district,69.49%,59,"$743,697,397",10.91%,-20.08%
2nd Congressional district,63.08%,65,"$337,712,283",3.03%,-6.79%
30th Congressional district,57.20%,243,"$971,572,598",9.91%,-5.14%
31st Congressional district,56.19%,105,"$185,789,118",15.03%,-4.01%
32nd Congressional district,63.24%,136,"$446,958,634",8.47%,-8.52%
33rd Congressional district,62.14%,103,"$392,380,976",8.93%,-8.97%
34th Congressional district,74.12%,85,"$1,167,735,385",6.15%,-23.25%
35th Congressional district,75.67%,263,"$1,565,222,489",6.40%,-22.52%
36th Congressional district,62.64%,91,"$116,718,100",12.55%,-13.32%
37th Congressional district,61.67%,360,"$1,066,817,039",11.48%,-7.69%
38th Congressional district,53.08%,130,"$255,278,844",11.59%,-2.15%
3rd Congressional district,62.86%,70,"$32,431,186",10.08%,-5.47%
4th Congressional district,65.49%,113,"$130,559,117",10.11%,-6.28%
5th Congressional district,69.35%,62,"$71,711,013",7.74%,-32.92%
6th Congressional district,63.10%,84,"$183,742,206",6.77%,-10.94%
7th Congressional district,57.07%,205,"$672,295,813",10.30%,-4.99%
8th Congressional district,56.06%,66,"$62,668,759",10.76%,-3.93%
9th Congressional district,70.09%,117,"$2,134,663,837",5.58%,-12.95%
