Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,62.68%,694,"$72,175,778",12.51%,-9.49%
$10M or more,62.02%,287,"$2,262,022,601",5.86%,-6.95%
$1M to $4.9M,65.88%,548,"$500,314,753",9.44%,-13.27%
$500K to $999K,71.43%,357,"$104,750,347",9.47%,-19.27%
$5M to $9.9M,71.53%,144,"$463,475,992",6.29%,-13.80%
Less than $100K,63.16%,76,"$6,241,468",23.41%,-17.39%
Total,65.53%,"2,106","$3,408,980,939",9.93%,-11.73%
