Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Montana,64.30%,703,"$790,905,340",9.59%,-10.54%
1st Congressional district,60.85%,378,"$345,109,902",12.02%,-8.49%
2nd Congressional district,68.31%,325,"$445,795,438",7.92%,-12.86%
