Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,66.46%,"1,115","$123,759,017",9.17%,-15.93%
$10M or more,69.05%,643,"$10,620,860,371",3.73%,-13.64%
$1M to $4.9M,73.35%,"1,317","$1,305,480,873",6.97%,-19.67%
$500K to $999K,66.67%,696,"$186,558,266",8.22%,-14.85%
$5M to $9.9M,77.44%,328,"$1,012,663,972",4.63%,-23.63%
Less than $100K,67.47%,166,"$9,184,950",15.24%,-21.03%
Total,69.89%,"4,265","$13,258,507,449",6.70%,-16.64%
