Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,58.10%,790,"$75,229,173",14.33%,-5.07%
$10M or more,68.71%,572,"$11,549,861,134",5.34%,-7.51%
$1M to $4.9M,60.04%,961,"$693,876,275",12.05%,-6.24%
$500K to $999K,59.65%,513,"$118,025,695",13.30%,-4.56%
$5M to $9.9M,60.83%,240,"$441,749,039",8.98%,-4.10%
Less than $100K,54.70%,117,"$6,439,907",29.96%,-5.72%
Total,60.91%,"3,193","$12,885,181,223",10.98%,-5.58%
