Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",66.02%,"1,245","$2,106,477,228",13.61%,-11.47%
Education,68.34%,"1,074","$3,612,024,359",8.53%,-9.95%
Environment and animals,55.56%,270,"$655,163,882",14.04%,-4.77%
Health,72.35%,810,"$3,914,300,969",6.08%,-14.48%
Hospitals,68.32%,101,"$773,317,911",1.13%,-4.44%
Human services,71.96%,"2,347","$5,336,384,179",7.88%,-16.67%
"International, foreign affairs",58.05%,174,"$852,008,526",7.44%,-6.25%
Mutual/membership benefit,60.00%,5,"$464,396",3.64%,-48.61%
"Public, societal benefit",69.96%,709,"$1,865,795,771",9.18%,-17.77%
Religion-related,53.79%,145,"$207,784,333",11.30%,-1.25%
Unclassified,72.90%,"1,956","$8,051,135,955",7.39%,-17.00%
Universities,59.46%,111,"$4,188,503,258",4.35%,-3.61%
Total,69.52%,"8,947","$31,563,360,767",8.35%,-13.02%
