Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",62.64%,182,"$134,157,599",12.30%,-7.54%
Education,67.45%,212,"$281,719,426",7.15%,-12.60%
Environment and animals,46.30%,54,"$81,949,745",24.04%,2.02%
Health,73.99%,173,"$442,102,494",3.37%,-20.09%
Hospitals,83.33%,6,"$8,156,959",-8.31%,-10.06%
Human services,76.08%,485,"$925,374,390",6.43%,-27.82%
"International, foreign affairs",64.29%,14,"$416,020,727",5.58%,-4.98%
Mutual/membership benefit,0.00%,1,"$3,500",19.35%,14.71%
"Public, societal benefit",69.64%,112,"$179,910,679",4.21%,-17.97%
Religion-related,68.75%,16,"$12,555,893",7.40%,-2.12%
Unclassified,75.19%,395,"$827,590,729",5.92%,-16.16%
Universities,50.00%,14,"$842,874,776",4.17%,-0.06%
Total,71.27%,"1,664","$4,152,416,917",6.56%,-16.08%
