Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,62.06%,282,"$27,262,151",10.97%,-8.41%
$10M or more,73.13%,67,"$400,889,976",3.49%,-4.82%
$1M to $4.9M,70.26%,195,"$172,800,121",8.48%,-13.79%
$500K to $999K,73.13%,134,"$35,100,255",6.76%,-20.35%
$5M to $9.9M,72.88%,59,"$131,521,305",3.86%,-10.27%
Less than $100K,53.49%,43,"$2,141,794",25.84%,-6.55%
Total,67.31%,780,"$769,715,602",7.99%,-9.68%
