Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",74.36%,429,"$458,359,502",9.62%,-18.25%
Education,72.40%,605,"$2,758,883,923",5.90%,-16.79%
Environment and animals,48.90%,182,"$119,808,601",15.78%,0.69%
Health,73.05%,449,"$1,773,879,017",6.20%,-19.86%
Hospitals,36.11%,36,"$128,504,037",10.94%,5.20%
Human services,73.55%,"1,331","$3,478,983,887",4.50%,-23.95%
"International, foreign affairs",52.00%,50,"$88,261,778",13.12%,-0.46%
Mutual/membership benefit,0.00%,2,"$724,199",30.50%,28.32%
"Public, societal benefit",64.95%,291,"$459,158,752",8.46%,-12.58%
Religion-related,46.94%,98,"$23,289,208",11.02%,0.65%
Unclassified,71.37%,751,"$2,912,203,591",6.01%,-18.68%
Universities,43.90%,41,"$1,056,450,954",6.69%,1.01%
Total,69.89%,"4,265","$13,258,507,449",6.70%,-16.64%
