Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Washington,66.34%,"2,834","$6,824,377,813",10.50%,-10.68%
Adams County,50.00%,2,"$15,081,967",22.56%,5.87%
Asotin County,50.00%,6,"$1,970,662",12.54%,-17.10%
Benton County,69.23%,52,"$93,308,871",6.87%,-14.62%
Chelan County,56.34%,71,"$64,079,445",14.46%,-4.09%
Clallam County,56.82%,44,"$21,174,573",15.38%,-10.91%
Clark County,62.64%,91,"$277,082,366",14.83%,-8.04%
Columbia County,50.00%,4,"$551,435",18.54%,1.04%
Cowlitz County,70.83%,24,"$32,324,726",9.10%,-24.58%
Douglas County,60.00%,5,"$4,712,626",4.88%,-0.41%
Ferry County,0.00%,1,"$51,600",24.40%,14.18%
Franklin County,78.57%,14,"$25,678,574",3.92%,-39.91%
Grant County,78.57%,14,"$19,429,268",5.35%,-8.99%
Grays Harbor County,76.00%,25,"$50,625,084",2.58%,-35.35%
Island County,44.12%,34,"$7,215,515",17.64%,1.32%
Jefferson County,56.41%,39,"$28,176,612",20.51%,-5.46%
King County,66.38%,"1,169","$4,050,351,090",9.80%,-10.48%
Kitsap County,48.39%,93,"$121,009,699",17.14%,1.02%
Kittitas County,77.27%,22,"$20,189,444",13.29%,-5.88%
Klickitat County,88.89%,9,"$10,459,559",4.20%,-43.96%
Lewis County,79.17%,24,"$19,473,659",9.30%,-19.45%
Lincoln County,100.00%,2,"$197,457",18.89%,-17.24%
Mason County,73.33%,15,"$28,628,427",5.90%,-18.62%
Okanogan County,63.33%,30,"$38,581,963",13.58%,-16.40%
Pacific County,35.71%,14,"$1,898,319",20.82%,6.39%
Pend Oreille County,80.00%,5,"$2,941,876",8.96%,-64.13%
Pierce County,70.51%,217,"$578,475,298",7.84%,-17.06%
San Juan County,57.89%,38,"$7,273,890",18.26%,-5.69%
Skagit County,71.15%,52,"$34,690,485",13.61%,-7.40%
Skamania County,75.00%,4,"$1,062,822",6.18%,-41.63%
Snohomish County,70.76%,171,"$250,245,879",6.55%,-19.24%
Spokane County,72.02%,193,"$336,836,917",8.45%,-15.99%
Stevens County,53.85%,13,"$33,028,122",13.05%,-4.20%
Thurston County,71.56%,109,"$155,063,234",13.42%,-14.97%
Wahkiakum County,100.00%,1,"$166,737",11.99%,-4.22%
Walla Walla County,67.65%,34,"$45,471,882",10.72%,-14.78%
Whatcom County,66.98%,106,"$109,574,365",12.37%,-6.32%
Whitman County,76.92%,13,"$19,151,155",5.11%,-63.19%
Yakima County,63.51%,74,"$318,142,210",13.63%,-7.46%
