Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
New Jersey,69.56%,"2,595","$5,819,107,231",8.60%,-15.76%
Atlantic County,69.12%,68,"$73,817,276",12.28%,-16.18%
Bergen County,62.45%,237,"$424,131,176",9.00%,-9.79%
Burlington County,61.86%,97,"$172,253,741",8.71%,-10.55%
Camden County,76.19%,147,"$361,278,914",5.58%,-27.49%
Cape May County,63.16%,38,"$18,248,540",18.77%,-7.23%
Cumberland County,73.33%,45,"$131,324,524",8.16%,-32.58%
Essex County,73.26%,288,"$1,096,493,382",8.27%,-25.20%
Gloucester County,68.42%,38,"$74,265,627",6.30%,-17.35%
Hudson County,78.15%,119,"$356,359,167",9.11%,-32.22%
Hunterdon County,73.02%,63,"$29,133,078",8.95%,-22.08%
Mercer County,68.92%,222,"$717,333,015",9.15%,-11.06%
Middlesex County,77.65%,179,"$615,011,316",4.23%,-27.75%
Monmouth County,67.46%,209,"$582,955,277",9.07%,-11.47%
Morris County,65.70%,172,"$195,213,412",12.06%,-11.18%
Ocean County,61.90%,189,"$179,728,519",9.65%,-8.17%
Passaic County,71.09%,128,"$298,495,347",5.89%,-19.82%
Salem County,83.33%,24,"$23,757,808",4.20%,-37.39%
Somerset County,70.25%,121,"$141,354,091",9.66%,-11.92%
Sussex County,64.86%,37,"$17,133,250",11.61%,-12.60%
Union County,69.40%,134,"$265,256,317",9.78%,-15.85%
Warren County,72.50%,40,"$45,563,454",8.40%,-19.94%
